x,u
-10,40.5
-9.998,40.5789
-9.996,40.6575
-9.994,40.736
-9.992,40.8142
-9.99,40.8921
-9.988,40.9699
-9.986,41.0474
-9.984,41.1247
-9.982,41.2017
-9.98,41.2786
-9.978,41.3552
-9.976,41.4316
-9.974,41.5077
-9.972,41.5837
-9.97,41.6594
-9.968,41.7349
-9.966,41.8102
-9.964,41.8852
-9.962,41.96
-9.96,42.0346
-9.958,42.109
-9.956,42.1832
-9.954,42.2571
-9.952,42.3308
-9.95,42.4043
-9.948,42.4776
-9.946,42.5507
-9.944,42.6236
-9.942,42.6962
-9.94,42.7686
-9.938,42.8408
-9.936,42.9128
-9.934,42.9846
-9.932,43.0561
-9.93,43.1275
-9.928,43.1986
-9.926,43.2695
-9.924,43.3402
-9.922,43.4107
-9.92,43.481
-9.918,43.551
-9.916,43.6209
-9.914,43.6905
-9.912,43.76
-9.91,43.8292
-9.908,43.8982
-9.906,43.967
-9.904,44.0356
-9.902,44.104
-9.9,44.1722
-9.898,44.2401
-9.896,44.3079
-9.894,44.3755
-9.892,44.4428
-9.89,44.51
-9.888,44.5769
-9.886,44.6436
-9.884,44.7102
-9.882,44.7765
-9.88,44.8426
-9.878,44.9086
-9.876,44.9743
-9.874,45.0398
-9.872,45.1051
-9.87,45.1702
-9.868,45.2351
-9.866,45.2998
-9.864,45.3644
-9.862,45.4287
-9.86,45.4928
-9.858,45.5567
-9.856,45.6204
-9.854,45.6839
-9.852,45.7473
-9.85,45.8104
-9.848,45.8733
-9.846,45.936
-9.844,45.9986
-9.842,46.0609
-9.84,46.123
-9.838,46.185
-9.836,46.2467
-9.834,46.3083
-9.832,46.3697
-9.83,46.4308
-9.828,46.4918
-9.826,46.5526
-9.824,46.6132
-9.822,46.6736
-9.82,46.7338
-9.818,46.7938
-9.816,46.8537
-9.814,46.9133
-9.812,46.9728
-9.81,47.032
-9.808,47.0911
-9.806,47.15
-9.804,47.2087
-9.802,47.2672
-9.8,47.3255
-9.798,47.3837
-9.796,47.4416
-9.794,47.4994
-9.792,47.5569
-9.79,47.6143
-9.788,47.6715
-9.786,47.7286
-9.784,47.7854
-9.782,47.8421
-9.78,47.8985
-9.778,47.9548
-9.776,48.0109
-9.774,48.0668
-9.772,48.1226
-9.77,48.1782
-9.768,48.2335
-9.766,48.2887
-9.764,48.3437
-9.762,48.3986
-9.76,48.4532
-9.758,48.5077
-9.756,48.562
-9.754,48.6161
-9.752,48.6701
-9.75,48.7239
-9.748,48.7774
-9.746,48.8309
-9.744,48.8841
-9.742,48.9371
-9.74,48.99
-9.738,49.0427
-9.736,49.0953
-9.734,49.1476
-9.732,49.1998
-9.73,49.2518
-9.728,49.3037
-9.726,49.3553
-9.724,49.4068
-9.722,49.4581
-9.72,49.5093
-9.718,49.5602
-9.716,49.611
-9.714,49.6617
-9.712,49.7121
-9.71,49.7624
-9.708,49.8125
-9.706,49.8625
-9.704,49.9123
-9.702,49.9619
-9.7,50.0113
-9.698,50.0606
-9.696,50.1097
-9.694,50.1586
-9.692,50.2074
-9.69,50.256
-9.688,50.3044
-9.686,50.3527
-9.684,50.4008
-9.682,50.4488
-9.68,50.4965
-9.678,50.5441
-9.676,50.5916
-9.674,50.6389
-9.672,50.686
-9.67,50.7329
-9.668,50.7797
-9.666,50.8264
-9.664,50.8728
-9.662,50.9191
-9.66,50.9653
-9.658,51.0112
-9.656,51.0571
-9.654,51.1027
-9.652,51.1482
-9.65,51.1936
-9.648,51.2387
-9.646,51.2838
-9.644,51.3286
-9.642,51.3733
-9.64,51.4179
-9.638,51.4622
-9.636,51.5065
-9.634,51.5505
-9.632,51.5945
-9.63,51.6382
-9.628,51.6818
-9.626,51.7252
-9.624,51.7685
-9.622,51.8117
-9.62,51.8546
-9.618,51.8975
-9.616,51.9401
-9.614,51.9826
-9.612,52.025
-9.61,52.0672
-9.608,52.1093
-9.606,52.1512
-9.604,52.1929
-9.602,52.2345
-9.6,52.276
-9.598,52.3172
-9.596,52.3584
-9.594,52.3994
-9.592,52.4402
-9.59,52.4809
-9.588,52.5214
-9.586,52.5618
-9.584,52.6021
-9.582,52.6422
-9.58,52.6821
-9.578,52.7219
-9.576,52.7616
-9.574,52.8011
-9.572,52.8404
-9.57,52.8796
-9.568,52.9187
-9.566,52.9576
-9.564,52.9963
-9.562,53.035
-9.56,53.0734
-9.558,53.1118
-9.556,53.1499
-9.554,53.188
-9.552,53.2259
-9.55,53.2636
-9.548,53.3012
-9.546,53.3387
-9.544,53.376
-9.542,53.4132
-9.54,53.4502
-9.538,53.4871
-9.536,53.5239
-9.534,53.5605
-9.532,53.5969
-9.53,53.6333
-9.528,53.6694
-9.526,53.7055
-9.524,53.7414
-9.522,53.7772
-9.52,53.8128
-9.518,53.8483
-9.516,53.8836
-9.514,53.9188
-9.512,53.9539
-9.51,53.9888
-9.508,54.0236
-9.506,54.0583
-9.504,54.0928
-9.502,54.1272
-9.5,54.1614
-9.498,54.1955
-9.496,54.2295
-9.494,54.2633
-9.492,54.297
-9.49,54.3306
-9.488,54.364
-9.486,54.3973
-9.484,54.4305
-9.482,54.4635
-9.48,54.4964
-9.478,54.5292
-9.476,54.5618
-9.474,54.5943
-9.472,54.6267
-9.47,54.6589
-9.468,54.691
-9.466,54.723
-9.464,54.7548
-9.462,54.7865
-9.46,54.8181
-9.458,54.8495
-9.456,54.8808
-9.454,54.912
-9.452,54.9431
-9.45,54.974
-9.448,55.0048
-9.446,55.0354
-9.444,55.066
-9.442,55.0964
-9.44,55.1267
-9.438,55.1568
-9.436,55.1868
-9.434,55.2167
-9.432,55.2465
-9.43,55.2761
-9.428,55.3057
-9.426,55.335
-9.424,55.3643
-9.422,55.3934
-9.42,55.4224
-9.418,55.4513
-9.416,55.4801
-9.414,55.5087
-9.412,55.5372
-9.41,55.5656
-9.408,55.5939
-9.406,55.622
-9.404,55.65
-9.402,55.6779
-9.4,55.7057
-9.398,55.7334
-9.396,55.7609
-9.394,55.7883
-9.392,55.8156
-9.39,55.8427
-9.388,55.8698
-9.386,55.8967
-9.384,55.9235
-9.382,55.9502
-9.38,55.9767
-9.378,56.0031
-9.376,56.0295
-9.374,56.0557
-9.372,56.0817
-9.37,56.1077
-9.368,56.1335
-9.366,56.1592
-9.364,56.1848
-9.362,56.2103
-9.36,56.2357
-9.358,56.2609
-9.356,56.2861
-9.354,56.3111
-9.352,56.336
-9.35,56.3608
-9.348,56.3854
-9.346,56.41
-9.344,56.4344
-9.342,56.4587
-9.34,56.4829
-9.338,56.507
-9.336,56.531
-9.334,56.5549
-9.332,56.5786
-9.33,56.6022
-9.328,56.6258
-9.326,56.6492
-9.324,56.6724
-9.322,56.6956
-9.32,56.7187
-9.318,56.7416
-9.316,56.7645
-9.314,56.7872
-9.312,56.8098
-9.31,56.8323
-9.308,56.8547
-9.306,56.877
-9.304,56.8992
-9.302,56.9212
-9.3,56.9432
-9.298,56.965
-9.296,56.9867
-9.294,57.0084
-9.292,57.0299
-9.29,57.0513
-9.288,57.0726
-9.286,57.0937
-9.284,57.1148
-9.282,57.1358
-9.28,57.1566
-9.278,57.1774
-9.276,57.198
-9.274,57.2186
-9.272,57.239
-9.27,57.2593
-9.268,57.2795
-9.266,57.2996
-9.264,57.3196
-9.262,57.3395
-9.26,57.3593
-9.258,57.379
-9.256,57.3986
-9.254,57.4181
-9.252,57.4374
-9.25,57.4567
-9.248,57.4758
-9.246,57.4949
-9.244,57.5139
-9.242,57.5327
-9.24,57.5514
-9.238,57.5701
-9.236,57.5886
-9.234,57.6071
-9.232,57.6254
-9.23,57.6436
-9.228,57.6617
-9.226,57.6798
-9.224,57.6977
-9.222,57.7155
-9.22,57.7332
-9.218,57.7509
-9.216,57.7684
-9.214,57.7858
-9.212,57.8031
-9.21,57.8203
-9.208,57.8375
-9.206,57.8545
-9.204,57.8714
-9.202,57.8882
-9.2,57.9049
-9.198,57.9215
-9.196,57.9381
-9.194,57.9545
-9.192,57.9708
-9.19,57.987
-9.188,58.0032
-9.186,58.0192
-9.184,58.0351
-9.182,58.051
-9.18,58.0667
-9.178,58.0824
-9.176,58.0979
-9.174,58.1134
-9.172,58.1287
-9.17,58.144
-9.168,58.1591
-9.166,58.1742
-9.164,58.1892
-9.162,58.204
-9.16,58.2188
-9.158,58.2335
-9.156,58.2481
-9.154,58.2626
-9.152,58.277
-9.15,58.2913
-9.148,58.3055
-9.146,58.3196
-9.144,58.3337
-9.142,58.3476
-9.14,58.3615
-9.138,58.3752
-9.136,58.3889
-9.134,58.4024
-9.132,58.4159
-9.13,58.4293
-9.128,58.4426
-9.126,58.4558
-9.124,58.4689
-9.122,58.4819
-9.12,58.4948
-9.118,58.5077
-9.116,58.5204
-9.114,58.533
-9.112,58.5456
-9.11,58.5581
-9.108,58.5705
-9.106,58.5828
-9.104,58.595
-9.102,58.6071
-9.1,58.6191
-9.098,58.631
-9.096,58.6429
-9.094,58.6547
-9.092,58.6663
-9.09,58.6779
-9.088,58.6894
-9.086,58.7008
-9.084,58.7121
-9.082,58.7234
-9.08,58.7345
-9.078,58.7456
-9.076,58.7566
-9.074,58.7674
-9.072,58.7782
-9.07,58.789
-9.068,58.7996
-9.066,58.8101
-9.064,58.8206
-9.062,58.831
-9.06,58.8412
-9.058,58.8514
-9.056,58.8616
-9.054,58.8716
-9.052,58.8815
-9.05,58.8914
-9.048,58.9012
-9.046,58.9109
-9.044,58.9205
-9.042,58.93
-9.04,58.9395
-9.038,58.9488
-9.036,58.9581
-9.034,58.9673
-9.032,58.9764
-9.03,58.9855
-9.028,58.9944
-9.026,59.0033
-9.024,59.0121
-9.022,59.0208
-9.02,59.0294
-9.018,59.0379
-9.016,59.0464
-9.014,59.0548
-9.012,59.0631
-9.01,59.0713
-9.008,59.0794
-9.006,59.0875
-9.004,59.0955
-9.002,59.1034
-9,59.1112
-8.998,59.1189
-8.996,59.1266
-8.994,59.1341
-8.992,59.1416
-8.99,59.1491
-8.988,59.1564
-8.986,59.1637
-8.984,59.1709
-8.982,59.178
-8.98,59.185
-8.978,59.192
-8.976,59.1988
-8.974,59.2056
-8.972,59.2123
-8.97,59.219
-8.968,59.2256
-8.966,59.232
-8.964,59.2385
-8.962,59.2448
-8.96,59.251
-8.958,59.2572
-8.956,59.2633
-8.954,59.2694
-8.952,59.2753
-8.95,59.2812
-8.948,59.287
-8.946,59.2927
-8.944,59.2984
-8.942,59.304
-8.94,59.3095
-8.938,59.3149
-8.936,59.3203
-8.934,59.3255
-8.932,59.3308
-8.93,59.3359
-8.928,59.341
-8.926,59.3459
-8.924,59.3509
-8.922,59.3557
-8.92,59.3605
-8.918,59.3652
-8.916,59.3698
-8.914,59.3743
-8.912,59.3788
-8.91,59.3832
-8.908,59.3876
-8.906,59.3918
-8.904,59.396
-8.902,59.4001
-8.9,59.4042
-8.898,59.4081
-8.896,59.4121
-8.894,59.4159
-8.892,59.4196
-8.89,59.4233
-8.888,59.427
-8.886,59.4305
-8.884,59.434
-8.882,59.4374
-8.88,59.4408
-8.878,59.444
-8.876,59.4472
-8.874,59.4504
-8.872,59.4534
-8.87,59.4564
-8.868,59.4593
-8.866,59.4622
-8.864,59.465
-8.862,59.4677
-8.86,59.4704
-8.858,59.473
-8.856,59.4755
-8.854,59.4779
-8.852,59.4803
-8.85,59.4826
-8.848,59.4849
-8.846,59.487
-8.844,59.4891
-8.842,59.4912
-8.84,59.4932
-8.838,59.4951
-8.836,59.4969
-8.834,59.4987
-8.832,59.5004
-8.83,59.5021
-8.828,59.5036
-8.826,59.5052
-8.824,59.5066
-8.822,59.508
-8.82,59.5093
-8.818,59.5106
-8.816,59.5118
-8.814,59.5129
-8.812,59.5139
-8.81,59.5149
-8.808,59.5159
-8.806,59.5167
-8.804,59.5175
-8.802,59.5183
-8.8,59.5189
-8.798,59.5196
-8.796,59.5201
-8.794,59.5206
-8.792,59.521
-8.79,59.5214
-8.788,59.5217
-8.786,59.5219
-8.784,59.5221
-8.782,59.5222
-8.78,59.5222
-8.778,59.5222
-8.776,59.5221
-8.774,59.522
-8.772,59.5218
-8.77,59.5215
-8.768,59.5212
-8.766,59.5208
-8.764,59.5203
-8.762,59.5198
-8.76,59.5192
-8.758,59.5186
-8.756,59.5179
-8.754,59.5172
-8.752,59.5163
-8.75,59.5155
-8.748,59.5145
-8.746,59.5135
-8.744,59.5125
-8.742,59.5114
-8.74,59.5102
-8.738,59.509
-8.736,59.5077
-8.734,59.5063
-8.732,59.5049
-8.73,59.5034
-8.728,59.5019
-8.726,59.5003
-8.724,59.4987
-8.722,59.4969
-8.72,59.4952
-8.718,59.4934
-8.716,59.4915
-8.714,59.4895
-8.712,59.4875
-8.71,59.4855
-8.708,59.4834
-8.706,59.4812
-8.704,59.479
-8.702,59.4767
-8.7,59.4744
-8.698,59.472
-8.696,59.4695
-8.694,59.467
-8.692,59.4644
-8.69,59.4618
-8.688,59.4591
-8.686,59.4564
-8.684,59.4536
-8.682,59.4508
-8.68,59.4478
-8.678,59.4449
-8.676,59.4419
-8.674,59.4388
-8.672,59.4357
-8.67,59.4325
-8.668,59.4293
-8.666,59.426
-8.664,59.4226
-8.662,59.4192
-8.66,59.4158
-8.658,59.4123
-8.656,59.4087
-8.654,59.4051
-8.652,59.4014
-8.65,59.3977
-8.648,59.3939
-8.646,59.3901
-8.644,59.3862
-8.642,59.3823
-8.64,59.3783
-8.638,59.3742
-8.636,59.3701
-8.634,59.366
-8.632,59.3618
-8.63,59.3575
-8.628,59.3532
-8.626,59.3489
-8.624,59.3445
