t,iters
0.000000,0
0.010000,2
0.020000,2
0.030000,2
0.040000,2
0.050000,2
0.060000,2
0.070000,2
0.080000,2
0.090000,2
0.100000,2
0.110000,2
0.120000,2
0.130000,2
0.140000,2
0.150000,2
0.160000,2
0.170000,2
0.180000,2
0.190000,2
0.200000,2
0.210000,2
0.220000,2
0.230000,2
0.240000,2
0.250000,2
0.260000,2
0.270000,2
0.280000,2
0.290000,2
0.300000,2
0.310000,2
0.320000,2
0.330000,2
0.340000,2
0.350000,2
0.360000,2
0.370000,2
0.380000,2
0.390000,2
0.400000,2
0.410000,2
0.420000,2
0.430000,2
0.440000,2
0.450000,2
0.460000,2
0.470000,2
0.480000,2
0.490000,2
0.500000,2
0.510000,2
0.520000,2
0.530000,2
0.540000,2
0.550000,2
0.560000,2
0.570000,2
0.580000,2
0.590000,2
0.600000,2
0.610000,2
0.620000,2
0.630000,2
0.640000,2
0.650000,2
0.660000,2
0.670000,2
0.680000,2
0.690000,2
0.700000,2
0.710000,2
0.720000,2
0.730000,2
0.740000,2
0.750000,2
0.760000,2
0.770000,2
0.780000,2
0.790000,2
0.800000,2
0.810000,2
0.820000,2
0.830000,2
0.840000,2
0.850000,2
0.860000,2
0.870000,2
0.880000,2
0.890000,2
0.900000,2
0.910000,2
0.920000,2
0.930000,2
0.940000,2
0.950000,2
0.960000,2
0.970000,2
0.980000,2
0.990000,2
1.000000,2
