t,iters
0.000000,0
0.001000,3
0.002000,3
0.003000,3
0.004000,3
0.005000,3
0.006000,3
0.007000,3
0.008000,3
0.009000,3
0.010000,3
0.011000,3
0.012000,3
0.013000,3
0.014000,3
0.015000,3
0.016000,3
0.017000,3
0.018000,3
0.019000,3
0.020000,3
0.021000,3
0.022000,3
0.023000,3
0.024000,3
0.025000,3
0.026000,3
0.027000,3
0.028000,3
0.029000,3
0.030000,3
0.031000,3
0.032000,3
0.033000,3
0.034000,3
0.035000,3
0.036000,3
0.037000,3
0.038000,3
0.039000,3
0.040000,3
0.041000,3
0.042000,3
0.043000,3
0.044000,3
0.045000,3
0.046000,3
0.047000,3
0.048000,3
0.049000,3
0.050000,3
0.051000,3
0.052000,3
0.053000,3
0.054000,3
0.055000,3
0.056000,3
0.057000,3
0.058000,3
0.059000,3
0.060000,3
0.061000,3
0.062000,3
0.063000,3
0.064000,3
0.065000,3
0.066000,3
0.067000,3
0.068000,3
0.069000,3
0.070000,3
0.071000,3
0.072000,3
0.073000,3
0.074000,3
0.075000,3
0.076000,3
0.077000,3
0.078000,3
0.079000,3
0.080000,3
0.081000,3
0.082000,3
0.083000,3
0.084000,3
0.085000,3
0.086000,3
0.087000,3
0.088000,3
0.089000,3
0.090000,3
0.091000,3
0.092000,3
0.093000,3
0.094000,3
0.095000,3
0.096000,3
0.097000,3
0.098000,3
0.099000,3
0.100000,3
0.101000,3
0.102000,3
0.103000,3
0.104000,3
0.105000,3
0.106000,3
0.107000,3
0.108000,3
0.109000,3
0.110000,3
0.111000,3
0.112000,3
0.113000,3
0.114000,3
0.115000,3
0.116000,3
0.117000,3
0.118000,3
0.119000,3
0.120000,3
0.121000,3
0.122000,3
0.123000,3
0.124000,3
0.125000,3
0.126000,3
0.127000,3
0.128000,3
0.129000,3
0.130000,3
0.131000,3
0.132000,3
0.133000,3
0.134000,3
0.135000,3
0.136000,3
0.137000,3
0.138000,3
0.139000,3
0.140000,3
0.141000,3
0.142000,3
0.143000,3
0.144000,3
0.145000,3
0.146000,3
0.147000,3
0.148000,3
0.149000,3
0.150000,3
0.151000,3
0.152000,3
0.153000,3
0.154000,3
0.155000,3
0.156000,3
0.157000,3
0.158000,3
0.159000,3
0.160000,3
0.161000,3
0.162000,3
0.163000,3
0.164000,3
0.165000,3
0.166000,3
0.167000,3
0.168000,3
0.169000,3
0.170000,3
0.171000,3
0.172000,3
0.173000,3
0.174000,3
0.175000,3
0.176000,3
0.177000,3
0.178000,3
0.179000,3
0.180000,3
0.181000,3
0.182000,3
0.183000,3
0.184000,3
0.185000,3
0.186000,3
0.187000,3
0.188000,3
0.189000,3
0.190000,3
0.191000,3
0.192000,3
0.193000,3
0.194000,3
0.195000,3
0.196000,3
0.197000,3
0.198000,3
0.199000,3
0.200000,3
0.201000,3
0.202000,3
0.203000,3
0.204000,3
0.205000,3
0.206000,3
0.207000,3
0.208000,3
0.209000,3
0.210000,3
0.211000,3
0.212000,3
0.213000,3
0.214000,3
0.215000,3
0.216000,3
0.217000,3
0.218000,3
0.219000,3
0.220000,3
0.221000,3
0.222000,3
0.223000,3
0.224000,3
0.225000,3
0.226000,3
0.227000,3
0.228000,3
0.229000,3
0.230000,3
0.231000,3
0.232000,3
0.233000,3
0.234000,3
0.235000,3
0.236000,3
0.237000,3
0.238000,3
0.239000,3
0.240000,3
0.241000,3
0.242000,3
0.243000,3
0.244000,3
0.245000,3
0.246000,3
0.247000,3
0.248000,3
0.249000,3
0.250000,3
0.251000,3
0.252000,3
0.253000,3
0.254000,3
0.255000,3
0.256000,3
0.257000,3
0.258000,3
0.259000,3
0.260000,3
0.261000,3
0.262000,3
0.263000,3
0.264000,3
0.265000,3
0.266000,3
0.267000,3
0.268000,3
0.269000,3
0.270000,3
0.271000,3
0.272000,3
0.273000,3
0.274000,3
0.275000,3
0.276000,3
0.277000,3
0.278000,3
0.279000,3
0.280000,3
0.281000,3
0.282000,3
0.283000,3
0.284000,3
0.285000,3
0.286000,3
0.287000,3
0.288000,3
0.289000,3
0.290000,3
0.291000,3
0.292000,3
0.293000,3
0.294000,3
0.295000,3
0.296000,3
0.297000,3
0.298000,3
0.299000,3
0.300000,3
0.301000,3
0.302000,3
0.303000,3
0.304000,3
0.305000,3
0.306000,3
0.307000,3
0.308000,3
0.309000,3
0.310000,3
0.311000,3
0.312000,3
0.313000,3
0.314000,3
0.315000,3
0.316000,3
0.317000,3
0.318000,3
0.319000,3
0.320000,3
0.321000,3
0.322000,3
0.323000,3
0.324000,3
0.325000,3
0.326000,3
0.327000,3
0.328000,3
0.329000,3
0.330000,3
0.331000,3
0.332000,3
0.333000,3
0.334000,3
0.335000,3
0.336000,3
0.337000,3
0.338000,3
0.339000,3
0.340000,3
0.341000,3
0.342000,3
0.343000,3
0.344000,3
0.345000,3
0.346000,3
0.347000,3
0.348000,3
0.349000,3
0.350000,3
0.351000,3
0.352000,3
0.353000,3
0.354000,3
0.355000,3
0.356000,3
0.357000,3
0.358000,3
0.359000,3
0.360000,3
0.361000,3
0.362000,3
0.363000,3
0.364000,3
0.365000,3
0.366000,3
0.367000,3
0.368000,3
0.369000,3
0.370000,3
0.371000,3
0.372000,3
0.373000,3
0.374000,3
0.375000,3
0.376000,3
0.377000,3
0.378000,3
0.379000,3
0.380000,3
0.381000,3
0.382000,3
0.383000,3
0.384000,3
0.385000,3
0.386000,3
0.387000,3
0.388000,3
0.389000,3
0.390000,3
0.391000,3
0.392000,3
0.393000,3
0.394000,3
0.395000,3
0.396000,3
0.397000,3
0.398000,3
0.399000,3
0.400000,3
0.401000,3
0.402000,3
0.403000,3
0.404000,3
0.405000,3
0.406000,3
0.407000,3
0.408000,3
0.409000,3
0.410000,3
0.411000,3
0.412000,3
0.413000,3
0.414000,3
0.415000,3
0.416000,3
0.417000,3
0.418000,3
0.419000,3
0.420000,3
0.421000,3
0.422000,3
0.423000,3
0.424000,3
0.425000,3
0.426000,3
0.427000,3
0.428000,3
0.429000,3
0.430000,3
0.431000,3
0.432000,3
0.433000,3
0.434000,3
0.435000,3
0.436000,3
0.437000,3
0.438000,3
0.439000,3
0.440000,3
0.441000,3
0.442000,3
0.443000,3
0.444000,3
0.445000,3
0.446000,3
0.447000,3
0.448000,3
0.449000,3
0.450000,3
0.451000,3
0.452000,3
0.453000,3
0.454000,3
0.455000,3
0.456000,3
0.457000,3
0.458000,3
0.459000,3
0.460000,3
0.461000,3
0.462000,3
