t,iters
0.000000,0
0.001000,3
0.002000,3
0.003000,3
0.004000,3
0.005000,3
0.006000,3
0.007000,3
0.008000,3
0.009000,3
0.010000,3
0.011000,3
0.012000,3
0.013000,3
0.014000,3
0.015000,3
0.016000,3
0.017000,3
0.018000,3
0.019000,3
0.020000,3
0.021000,3
0.022000,3
0.023000,3
0.024000,3
0.025000,3
0.026000,3
0.027000,3
0.028000,3
0.029000,3
0.030000,3
0.031000,3
0.032000,3
0.033000,3
0.034000,2
0.035000,2
0.036000,2
0.037000,2
0.038000,2
0.039000,2
0.040000,2
0.041000,2
0.042000,2
0.043000,2
0.044000,2
0.045000,2
0.046000,2
0.047000,2
0.048000,2
0.049000,2
0.050000,2
0.051000,2
0.052000,2
0.053000,2
0.054000,2
0.055000,2
0.056000,2
0.057000,2
0.058000,2
0.059000,2
0.060000,2
0.061000,2
0.062000,2
0.063000,2
0.064000,2
0.065000,2
0.066000,2
0.067000,2
0.068000,2
0.069000,2
0.070000,2
0.071000,2
0.072000,2
0.073000,2
0.074000,2
0.075000,2
0.076000,2
0.077000,2
0.078000,2
0.079000,2
0.080000,2
0.081000,2
0.082000,2
0.083000,2
0.084000,2
0.085000,2
0.086000,2
0.087000,2
0.088000,2
0.089000,2
0.090000,2
0.091000,2
0.092000,2
0.093000,2
0.094000,2
0.095000,2
0.096000,2
0.097000,2
0.098000,2
0.099000,2
0.100000,2
0.101000,2
0.102000,2
0.103000,2
0.104000,2
0.105000,2
0.106000,2
0.107000,2
0.108000,2
0.109000,2
0.110000,2
0.111000,2
0.112000,2
0.113000,2
0.114000,2
0.115000,2
0.116000,2
0.117000,2
0.118000,2
0.119000,2
0.120000,2
0.121000,2
0.122000,2
0.123000,2
0.124000,2
0.125000,2
0.126000,2
0.127000,2
0.128000,2
0.129000,2
0.130000,2
0.131000,2
0.132000,2
0.133000,2
0.134000,2
0.135000,2
0.136000,2
0.137000,2
0.138000,2
0.139000,2
0.140000,2
0.141000,2
0.142000,2
0.143000,2
0.144000,2
0.145000,2
0.146000,2
0.147000,2
0.148000,2
0.149000,2
0.150000,2
0.151000,2
0.152000,2
0.153000,2
0.154000,2
0.155000,2
0.156000,2
0.157000,2
0.158000,2
0.159000,2
0.160000,2
0.161000,2
0.162000,2
0.163000,2
0.164000,2
0.165000,2
0.166000,2
0.167000,2
0.168000,2
0.169000,2
0.170000,2
0.171000,2
0.172000,2
0.173000,2
0.174000,2
0.175000,2
0.176000,2
0.177000,2
0.178000,2
0.179000,2
0.180000,2
0.181000,2
0.182000,2
0.183000,2
0.184000,2
0.185000,2
0.186000,2
0.187000,2
0.188000,2
0.189000,2
0.190000,2
0.191000,2
0.192000,2
0.193000,2
0.194000,2
0.195000,2
0.196000,2
0.197000,2
0.198000,2
0.199000,2
0.200000,2
0.201000,2
0.202000,2
0.203000,2
0.204000,2
0.205000,2
0.206000,2
0.207000,2
0.208000,2
0.209000,2
0.210000,2
0.211000,2
0.212000,2
0.213000,2
0.214000,2
0.215000,2
0.216000,2
0.217000,2
0.218000,2
0.219000,2
0.220000,2
0.221000,2
0.222000,2
0.223000,2
0.224000,2
0.225000,2
0.226000,2
0.227000,2
0.228000,2
0.229000,2
0.230000,2
0.231000,2
0.232000,2
0.233000,2
0.234000,2
0.235000,2
0.236000,2
0.237000,2
0.238000,2
0.239000,2
0.240000,2
0.241000,2
0.242000,2
0.243000,2
0.244000,2
0.245000,2
0.246000,2
0.247000,2
0.248000,2
0.249000,2
0.250000,2
0.251000,2
0.252000,2
0.253000,2
0.254000,2
0.255000,2
0.256000,2
0.257000,2
0.258000,2
0.259000,2
0.260000,2
0.261000,2
0.262000,2
0.263000,2
0.264000,2
0.265000,2
0.266000,2
0.267000,2
0.268000,2
0.269000,2
0.270000,2
0.271000,2
0.272000,2
0.273000,2
0.274000,2
0.275000,2
0.276000,2
0.277000,2
0.278000,2
0.279000,2
0.280000,2
0.281000,2
0.282000,2
0.283000,2
0.284000,2
0.285000,2
0.286000,2
0.287000,2
0.288000,2
0.289000,2
0.290000,2
0.291000,2
0.292000,2
0.293000,2
0.294000,2
0.295000,2
0.296000,2
0.297000,2
0.298000,2
0.299000,2
0.300000,2
0.301000,2
0.302000,2
0.303000,2
0.304000,2
0.305000,2
0.306000,2
0.307000,2
0.308000,2
0.309000,2
0.310000,2
0.311000,2
0.312000,2
0.313000,2
0.314000,2
0.315000,2
0.316000,2
0.317000,2
0.318000,2
0.319000,2
0.320000,2
0.321000,2
0.322000,2
0.323000,2
0.324000,2
0.325000,2
0.326000,2
0.327000,2
0.328000,2
0.329000,2
0.330000,2
0.331000,2
0.332000,2
0.333000,2
0.334000,2
0.335000,2
0.336000,2
0.337000,2
0.338000,2
0.339000,2
0.340000,2
0.341000,2
0.342000,2
0.343000,2
0.344000,2
0.345000,2
0.346000,2
0.347000,2
0.348000,2
0.349000,2
0.350000,2
0.351000,2
0.352000,2
0.353000,2
0.354000,2
0.355000,2
0.356000,2
0.357000,2
0.358000,2
0.359000,2
0.360000,3
0.361000,3
0.362000,3
0.363000,3
0.364000,3
0.365000,3
0.366000,3
0.367000,3
0.368000,3
0.369000,3
0.370000,3
0.371000,3
0.372000,3
0.373000,3
0.374000,3
0.375000,3
0.376000,3
0.377000,3
0.378000,3
0.379000,3
0.380000,3
0.381000,3
0.382000,3
0.383000,3
0.384000,3
0.385000,3
0.386000,3
0.387000,3
0.388000,3
0.389000,3
0.390000,3
0.391000,3
0.392000,3
0.393000,3
0.394000,3
0.395000,3
0.396000,3
0.397000,3
0.398000,3
0.399000,3
0.400000,3
0.401000,3
0.402000,3
0.403000,3
0.404000,3
0.405000,3
0.406000,3
0.407000,3
0.408000,3
0.409000,3
0.410000,3
0.411000,3
0.412000,3
0.413000,3
0.414000,3
0.415000,3
0.416000,3
0.417000,3
0.418000,3
0.419000,3
0.420000,3
0.421000,3
0.422000,3
0.423000,3
0.424000,3
0.425000,3
0.426000,3
0.427000,3
0.428000,3
0.429000,3
0.430000,3
0.431000,3
0.432000,3
0.433000,3
0.434000,3
0.435000,3
0.436000,3
0.437000,3
0.438000,3
0.439000,3
0.440000,3
0.441000,3
0.442000,3
0.443000,3
0.444000,3
0.445000,3
0.446000,3
0.447000,3
0.448000,3
0.449000,3
0.450000,3
0.451000,3
0.452000,3
0.453000,3
0.454000,3
0.455000,3
0.456000,3
0.457000,3
0.458000,3
0.459000,3
0.460000,3
0.461000,3
0.462000,3
